title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,loudness,liveness,speechiness,instrumentalness,track_popularity
Bed Chem,Sabrina Carpenter,pop,happy,0.727,94.99,0.676,0.739,0.0678,-5.968,0.104,0.0426,0.0,90
Mantra,JENNIE,pop,happy,0.725,116.988,0.838,0.894,0.00434,-4.984,0.0815,0.0432,1.15e-05,89
Lose Control,Teddy Swims,pop,intense,0.604,159.92,0.242,0.561,0.199,-4.409,0.104,0.0337,1.9e-05,89
End of Beginning,Djo,pop,chill,0.454,159.982,0.912,0.689,0.0351,-7.643,0.0707,0.0584,0.00259,89
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",pop,intense,0.681,155.079,0.388,0.56,0.103,-6.304,0.106,0.244,0.0,89
The Emptiness Machine,Linkin Park,pop,happy,0.872,184.115,0.806,0.466,0.0156,-3.344,0.121,0.0336,0.0,89
EL LOKERON,Tito Double P,latin,happy,0.689,120.208,0.936,0.724,0.573,-7.174,0.0922,0.0524,6.77e-06,89
Yellow,Coldplay,pop,intense,0.661,173.372,0.285,0.429,0.00239,-7.227,0.234,0.0281,0.000121,89
Locked out of Heaven,Bruno Mars,pop,happy,0.698,143.994,0.867,0.726,0.049,-4.165,0.309,0.0431,0.0,89
Night Changes,One Direction,pop,intense,0.52,120.001,0.37,0.672,0.859,-7.747,0.115,0.0353,0.0,89
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",pop,intense,0.64,84.828,0.19,0.264,0.0393,-6.221,0.151,0.0442,2.31e-06,89
Diet Pepsi,Addison Rae,pop,happy,0.561,150.069,0.841,0.669,0.495,-6.538,0.0954,0.0411,0.00962,88
Please Please Please,Sabrina Carpenter,pop,happy,0.586,107.071,0.579,0.669,0.274,-6.073,0.104,0.054,0.0,88
HOT TO GO!,Chappell Roan,pop,happy,0.757,139.982,0.957,0.742,0.0187,-4.981,0.305,0.0421,0.0,88
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",pop,happy,0.812,80.09,0.664,0.505,0.285,-3.986,0.444,0.461,0.0,88
Stargazing,Myles Smith,pop,intense,0.601,123.994,0.332,0.635,0.246,-6.129,0.11,0.0295,0.0,88
Not Like Us,Kendrick Lamar,pop,sad,0.472,101.061,0.214,0.898,0.0107,-7.001,0.141,0.0776,0.0,88
NEL,Fuerza Regida,latin,sad,0.482,100.029,0.356,0.69,0.523,-6.335,0.0728,0.2,0.0004,88
DOS DÍAS,"Tito Double P, Peso Pluma",latin,happy,0.513,109.935,0.929,0.745,0.783,-9.116,0.216,0.087,0.0,88
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",gaming,intense,0.882,148.038,0.201,0.569,0.0316,-2.777,0.142,0.06,0.0,88
The Night We Met,Lord Huron,pop,sad,0.369,174.097,0.0998,0.448,0.968,-9.514,0.638,0.0452,0.272,88
That's What I Like,Bruno Mars,pop,happy,0.56,134.066,0.86,0.853,0.013,-4.961,0.0944,0.0406,0.0,88
NIGHTS LIKE THIS,The Kid LAROI,pop,intense,0.757,142.579,0.12,0.482,0.0137,-4.586,0.143,0.0355,0.0016,88
In the End,Linkin Park,pop,intense,0.864,105.143,0.4,0.556,0.00958,-5.87,0.209,0.0584,0.0,88
LUNA,"Feid, ATL Jacob",latin,intense,0.86,100.019,0.446,0.774,0.131,-2.888,0.116,0.13,0.0,88
My Love Mine All Mine,Mitski,ambient,sad,0.308,113.95,0.121,0.504,0.868,-14.958,0.158,0.0321,0.135,88
Embrace It,Ndotz,pop,happy,0.645,114.933,0.788,0.882,0.475,-7.233,0.057,0.0601,4.13e-05,87
Rah Tah Tah,"Tyler, The Creator",hip-hop,happy,0.878,82.557,0.514,0.661,0.00289,-4.099,0.381,0.31,0.0,87
Pink + White,Frank Ocean,r&b,happy,0.545,159.94,0.549,0.545,0.667,-7.362,0.417,0.107,5.48e-05,87
Slow It Down,Benson Boone,gaming,happy,0.583,181.489,0.544,0.432,0.174,-4.682,0.0933,0.0687,0.0,87
All I Want for Christmas Is You,Mariah Carey,pop,intense,0.627,150.273,0.35,0.336,0.164,-7.463,0.0708,0.0384,0.0,87
Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",pop,intense,0.555,96.063,0.191,0.392,0.287,-6.707,0.13,0.039,0.000253,87
Iris,The Goo Goo Dolls,pop,intense,0.715,155.925,0.497,0.315,0.00125,-8.072,0.0942,0.0362,7.97e-06,87
Juno,Sabrina Carpenter,pop,happy,0.725,130.504,0.64,0.633,0.0461,-4.257,0.205,0.0427,0.0,87
Stick Season,Noah Kahan,pop,happy,0.5,117.896,0.801,0.664,0.799,-6.935,0.0966,0.0651,0.0,87
When I Was Your Man,Bruno Mars,pop,sad,0.28,72.795,0.387,0.612,0.932,-8.648,0.088,0.0434,0.0,87
Starboy,"The Weeknd, Daft Punk",pop,intense,0.587,186.003,0.486,0.679,0.141,-7.015,0.137,0.276,6.35e-06,87
Gata Only,"FloyyMenor, Cris Mj",latin,chill,0.499,99.986,0.669,0.791,0.446,-8.472,0.0899,0.0509,2.41e-05,87
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",hip-hop,intense,0.818,97.571,0.361,0.373,0.36,-3.19,0.434,0.102,0.0,87
Apocalypse,Cigarettes After Sex,ambient,sad,0.468,94.434,0.18,0.369,0.0205,-9.013,0.109,0.0273,0.566,87
A Bar Song (Tipsy),Shaboozey,pop,happy,0.709,81.012,0.604,0.722,0.0633,-4.95,0.0804,0.0273,0.0,86
Disease,Lady Gaga,pop,happy,0.917,100.987,0.501,0.562,0.0513,-2.768,0.488,0.117,0.0,86
Love Somebody,Morgan Wallen,pop,happy,0.843,122.064,0.746,0.619,0.00948,-5.348,0.164,0.0284,0.000118,86
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",pop,happy,0.782,119.992,0.655,0.727,0.0563,-8.529,0.225,0.042,0.336,86
Creep,Radiohead,rock,sad,0.43,91.844,0.104,0.515,0.0097,-9.935,0.129,0.0372,0.000133,86
Después De La 1,"Cris Mj, FloyyMenor, LOUKI",latin,happy,0.581,99.973,0.528,0.805,0.0303,-5.091,0.0933,0.0601,0.0202,86
Soltera,Shakira,latin,happy,0.752,100.076,0.67,0.841,0.167,-4.735,0.949,0.105,0.00046,86
UWAIE,Kapo,latin,intense,0.783,103.001,0.454,0.705,0.138,-4.783,0.0984,0.0403,0.0,86
Snooze,SZA,r&b,intense,0.551,143.008,0.392,0.559,0.141,-7.231,0.11,0.132,0.0,86
Kill Bill,SZA,r&b,intense,0.735,88.98,0.418,0.644,0.0521,-5.747,0.161,0.0391,0.144,86
Something Just Like This,"The Chainsmokers, Coldplay",electronic,intense,0.635,103.019,0.446,0.617,0.0498,-6.769,0.164,0.0317,1.44e-05,86
Story of My Life,One Direction,pop,intense,0.663,121.07,0.286,0.6,0.225,-5.802,0.119,0.0477,0.0,86
Another Love,Tom Odell,pop,intense,0.537,122.769,0.131,0.445,0.695,-8.532,0.0944,0.04,1.65e-05,86
lovely (with Khalid),"Billie Eilish, Khalid",pop,sad,0.296,115.284,0.12,0.351,0.934,-10.109,0.095,0.0333,0.0,86
Nonsense,Sabrina Carpenter,pop,happy,0.697,138.992,0.732,0.74,0.0268,-4.912,0.224,0.034,0.0,86
Shape of You,Ed Sheeran,pop,happy,0.652,95.977,0.931,0.825,0.581,-3.183,0.0931,0.0802,0.0,86
Perfect,Ed Sheeran,pop,sad,0.448,95.05,0.168,0.599,0.163,-6.312,0.106,0.0232,0.0,86
Without Me,Eminem,pop,happy,0.669,112.238,0.662,0.908,0.00286,-2.827,0.237,0.0738,0.0,86
Guess featuring billie eilish,"Charli xcx, Billie Eilish",pop,happy,0.667,130.019,0.618,0.776,0.0146,-6.622,0.0761,0.0983,0.3,85
NEW DROP,Don Toliver,pop,intense,0.628,119.98,0.321,0.757,0.189,-6.715,0.221,0.101,0.0209,85
Beautiful Things,Benson Boone,pop,sad,0.471,105.029,0.219,0.472,0.151,-5.692,0.14,0.0603,0.0,85
Touch,KATSEYE,pop,happy,0.904,167.033,0.788,0.739,0.549,-2.655,0.0948,0.0442,1.03e-05,85
Running Wild,Jin,pop,intense,0.711,146.921,0.317,0.487,0.000175,-4.22,0.152,0.0322,0.0,85
Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",hip-hop,happy,0.859,129.77,0.64,0.77,0.362,-3.382,0.673,0.275,0.0,85
AY MAMÁ,"Tito Double P, Grupo Frontera",latin,happy,0.764,148.853,0.729,0.666,0.366,-6.297,0.347,0.116,0.0,85
Rey Sin Reina,Julión Álvarez y su Norteño Banda,latin,chill,0.356,169.653,0.659,0.529,0.29,-6.612,0.136,0.0569,0.0,85
Sure Thing,Miguel,r&b,intense,0.607,81.001,0.498,0.684,0.0267,-8.127,0.191,0.1,0.000307,85
Big Dawgs,"Hanumankind, Kalmi",gaming,intense,0.745,180.098,0.262,0.464,0.0235,-3.202,0.363,0.161,0.0,85
I'm Good (Blue),"David Guetta, Bebe Rexha",gaming,intense,0.965,128.04,0.304,0.561,0.00383,-3.673,0.371,0.0343,7.07e-06,85
Romantic Homicide,d4vd,gaming,intense,0.544,132.052,0.216,0.571,0.453,-10.613,0.322,0.0299,0.00805,85
New Woman (feat. ROSALÍA),"LISA, ROSALÍA",gaming,intense,0.854,140.515,0.314,0.477,0.0858,-4.715,0.065,0.275,0.0,85
Everybody Wants To Rule The World,Tears For Fears,rock,happy,0.795,112.067,0.535,0.645,0.347,-12.095,0.104,0.0527,0.00389,85
Just the Way You Are,Bruno Mars,pop,intense,0.841,109.021,0.424,0.635,0.0134,-5.379,0.0622,0.0422,0.0,85
Riptide,Vance Joy,pop,intense,0.731,101.654,0.484,0.483,0.436,-6.696,0.151,0.0381,0.0,85
Something in the Orange,Zach Bryan,pop,sad,0.192,175.212,0.148,0.369,0.555,-12.151,0.0954,0.04,8.35e-06,85
Say You Won't Let Go,James Arthur,pop,intense,0.557,85.043,0.494,0.358,0.695,-7.398,0.0902,0.059,0.0,85
SI NO ES CONTIGO,Cris Mj,latin,happy,0.626,100.02,0.78,0.763,0.0859,-5.637,0.205,0.0433,0.225,85
Sparks,Coldplay,ambient,sad,0.268,102.617,0.165,0.371,0.748,-10.506,0.104,0.0281,0.0517,85
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",pop,happy,0.855,127.986,0.731,0.638,0.00757,-4.86,0.245,0.0264,0.0,84
No One Noticed,The Marías,pop,sad,0.339,97.989,0.457,0.705,0.552,-10.612,0.12,0.0278,0.0814,84
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",pop,happy,0.709,194.055,0.712,0.744,0.0501,-5.778,0.0847,0.284,0.0,84
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",pop,sad,0.386,192.004,0.281,0.504,0.502,-10.976,0.0961,0.0308,1.53e-05,84
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",pop,happy,0.712,91.98,0.692,0.848,0.221,-3.574,0.106,0.0981,0.0,84
Sweet Child O' Mine,Guns N' Roses,rock,happy,0.952,125.304,0.624,0.445,0.09,-5.321,0.112,0.0522,0.0843,84
Dreams - 2004 Remaster,Fleetwood Mac,rock,chill,0.492,120.151,0.789,0.828,0.0644,-9.744,0.128,0.0276,0.00428,84
Have You Ever Seen The Rain,Creedence Clearwater Revival,rock,happy,0.697,116.109,0.774,0.741,0.0664,-7.028,0.133,0.0277,2.28e-05,84
Highway to Hell,AC/DC,rock,intense,0.913,115.728,0.423,0.574,0.061,-4.793,0.156,0.133,0.00158,84
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",hip-hop,intense,0.552,144.941,0.112,0.64,0.0215,-5.679,0.119,0.129,0.0,84
PIÉNSALO,Junior H,latin,intense,0.536,97.541,0.359,0.716,0.452,-7.798,0.208,0.0328,0.0,84
SE ME OLVIDA,"Maisak, Feid",latin,happy,0.707,82.045,0.691,0.786,0.0399,-4.386,0.121,0.0635,0.0,84
505,Arctic Monkeys,rock,intense,0.866,140.266,0.248,0.526,0.00287,-5.822,0.0945,0.0568,7.78e-05,84
Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",r&b,sad,0.364,75.24,0.436,0.524,0.808,-10.209,0.1,0.0367,0.0,84
Nobody Gets Me,SZA,r&b,sad,0.284,99.796,0.276,0.358,0.805,-8.285,0.183,0.0285,0.0,84
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",electronic,happy,0.939,129.024,0.53,0.671,0.191,-3.206,0.298,0.161,0.0,84
Closer,"The Chainsmokers, Halsey",electronic,happy,0.524,95.01,0.661,0.748,0.414,-5.599,0.111,0.0338,0.0,84
i like the way you kiss me,Artemas,gaming,happy,0.946,151.647,0.747,0.599,0.000938,-4.263,0.0826,0.0447,0.0106,84
Ransom,Lil Tecca,gaming,intense,0.642,179.974,0.226,0.745,0.0204,-6.257,0.0658,0.287,0.0,84
KEEP UP,Odetari,gaming,happy,0.829,139.198,0.505,0.476,0.0172,-3.806,0.167,0.0658,0.00916,84
one of wun,Gunna,gaming,sad,0.453,139.943,0.287,0.915,0.0872,-4.589,0.104,0.27,0.000163,84
PERRO NEGRO,"Bad Bunny, Feid",latin,intense,0.778,96.057,0.345,0.911,0.0887,-2.248,0.179,0.262,2.16e-05,84
The Scientist,Coldplay,pop,sad,0.442,146.277,0.213,0.557,0.731,-7.224,0.11,0.0243,1.46e-05,84
Skyfall,Adele,pop,intense,0.552,75.881,0.0789,0.346,0.417,-6.864,0.114,0.0282,0.0,84
Thunder,Imagine Dragons,pop,intense,0.822,167.997,0.288,0.604,0.00672,-4.833,0.147,0.0438,0.134,84
Lover,Taylor Swift,pop,intense,0.543,68.534,0.453,0.359,0.492,-7.582,0.118,0.0919,1.58e-05,84
Photograph,Ed Sheeran,pop,sad,0.379,107.989,0.201,0.614,0.607,-10.48,0.0986,0.0476,0.000464,84
Take on Me,a-ha,pop,happy,0.902,84.412,0.876,0.573,0.018,-7.638,0.0928,0.054,0.00125,84
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",pop,happy,0.824,100.024,0.758,0.778,0.284,-5.892,0.405,0.0707,0.0,84
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",pop,happy,0.791,105.018,0.583,0.894,0.0183,-4.699,0.0388,0.112,0.0,84
Do I Wanna Know?,Arctic Monkeys,rock,intense,0.532,85.03,0.405,0.548,0.186,-7.596,0.217,0.0323,0.000263,84
Feel Good Inc.,Gorillaz,punk,happy,0.705,138.559,0.772,0.818,0.00836,-6.679,0.613,0.177,0.00233,84
Evergreen,Richy Mitch & The Coal Miners,folk,chill,0.216,79.109,0.504,0.555,0.557,-11.661,0.109,0.0721,0.00416,84
Scared To Start,Michael Marcagi,folk,intense,0.551,148.035,0.443,0.527,0.384,-11.258,0.403,0.0345,2.75e-06,84
Stumblin' In,CYRIL,electronic,intense,0.518,126.089,0.37,0.875,0.0638,-8.388,0.125,0.0551,0.00995,84
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"A$AP Rocky, Imogen Heap, Clams Casino",hip-hop,intense,0.652,141.981,0.104,0.47,0.0831,-9.629,0.175,0.0561,4.08e-05,84
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",hip-hop,intense,0.574,120.013,0.273,0.669,0.0175,-6.442,0.146,0.0286,0.00294,84
Revenge,XXXTENTACION,hip-hop,sad,0.251,139.999,0.18,0.746,0.782,-16.169,0.106,0.259,0.00203,84
Fuck Love,"XXXTENTACION, Trippie Redd",hip-hop,intense,0.533,131.036,0.329,0.797,0.0172,-9.74,0.103,0.0412,0.000152,84
Thunderstruck,AC/DC,rock,intense,0.89,133.52,0.259,0.502,0.000147,-5.175,0.217,0.0364,0.0117,83
Back In Black,AC/DC,rock,happy,0.7,188.386,0.763,0.31,0.011,-5.678,0.0828,0.047,0.00965,83
Africa,TOTO,rock,chill,0.373,92.718,0.732,0.671,0.257,-18.064,0.0481,0.0323,8.01e-05,83
Like That,"Future, Metro Boomin, Kendrick Lamar",hip-hop,intense,0.676,162.012,0.312,0.814,0.00709,-4.67,0.119,0.231,1.28e-05,83
Let Me Love You,"DJ Snake, Justin Bieber",electronic,intense,0.715,199.892,0.159,0.475,0.0863,-5.371,0.135,0.058,2.67e-05,83
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",gaming,intense,0.787,119.996,0.31,0.704,0.00926,-6.751,0.159,0.0462,0.00538,83
Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",gaming,intense,0.618,126.031,0.32,0.853,0.633,-10.833,0.0972,0.0923,0.89,83
I Can Do It With a Broken Heart,Taylor Swift,gaming,intense,0.751,129.994,0.22,0.701,0.123,-8.39,0.15,0.0502,0.0,83
Apple,Charli xcx,gaming,happy,0.957,126.035,0.962,0.804,0.125,-5.452,0.114,0.034,0.0174,83
Chop Suey!,System Of A Down,metal,intense,0.934,127.066,0.287,0.417,0.000278,-3.908,0.132,0.119,0.0015,83
Rockstar,LISA,k-pop,happy,0.628,140.053,0.568,0.668,0.129,-4.692,0.0293,0.046,0.0,83
Rockin' Around The Christmas Tree,Brenda Lee,pop,chill,0.47,67.086,0.879,0.598,0.617,-8.744,0.505,0.0496,0.0,83
All Girls Are The Same,Juice WRLD,arabic,intense,0.529,161.989,0.203,0.671,0.0769,-7.226,0.0856,0.307,0.000335,83
All of Me,John Legend,pop,sad,0.264,119.93,0.331,0.422,0.922,-7.064,0.132,0.0322,0.0,83
Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",pop,intense,0.547,95.0,0.442,0.778,0.344,-7.273,0.132,0.0489,0.000306,83
Circles,Post Malone,pop,happy,0.763,120.042,0.551,0.695,0.189,-3.497,0.0863,0.0396,0.00242,83
Heather,Conan Gray,pop,sad,0.425,102.078,0.27,0.357,0.584,-7.301,0.322,0.0333,0.0,83
Ghost,Justin Bieber,pop,intense,0.741,153.96,0.441,0.601,0.185,-5.569,0.415,0.0478,2.91e-05,83
Maps,Maroon 5,pop,happy,0.713,120.032,0.879,0.742,0.0205,-5.522,0.059,0.0303,0.0,83
Shut Up and Dance,WALK THE MOON,pop,happy,0.866,128.038,0.619,0.578,0.00701,-3.804,0.257,0.0619,0.0,83
Livin' On A Prayer,Bon Jovi,pop,happy,0.887,122.509,0.794,0.532,0.0778,-3.757,0.294,0.0335,0.000206,83
Wake Me Up,Avicii,pop,happy,0.783,124.08,0.643,0.532,0.0038,-5.697,0.161,0.0523,0.0012,83
Toxic,Britney Spears,pop,happy,0.838,143.04,0.924,0.774,0.0249,-3.914,0.242,0.114,0.025,83
Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics, Annie Lennox, Dave Stewart",pop,happy,0.711,125.135,0.875,0.692,0.225,-7.498,0.12,0.0317,0.0,83
TiK ToK,Kesha,pop,happy,0.837,120.028,0.714,0.755,0.0991,-2.718,0.289,0.142,0.0,83
Sorry,Justin Bieber,pop,intense,0.76,99.947,0.409,0.655,0.0797,-3.669,0.299,0.045,0.0,83
Bring Me To Life,Evanescence,punk,intense,0.943,94.612,0.296,0.331,0.00721,-3.188,0.242,0.0698,2.06e-06,83
Love The Way You Lie,"Eminem, Rihanna",blues,happy,0.925,86.989,0.641,0.749,0.241,-5.034,0.52,0.227,0.0,83
Je te laisserai des mots,Patrick Watson,folk,sad,0.187,132.679,0.212,0.303,0.989,-16.757,0.102,0.0356,0.499,83
QLONA,"KAROL G, Peso Pluma",latin,intense,0.738,169.918,0.484,0.841,0.52,-7.455,0.0892,0.307,0.0,83
Mejores Jordans,"Victor Mendivil, Oscar Maydon",latin,intense,0.583,115.221,0.271,0.669,0.603,-8.949,0.1,0.269,2.54e-06,83
Flashing Lights,"Kanye West, Dwele",hip-hop,intense,0.628,90.482,0.43,0.639,0.0381,-7.578,0.386,0.0398,0.0,83
Break from Toronto,PARTYNEXTDOOR,hip-hop,intense,0.678,117.067,0.259,0.595,0.0199,-5.18,0.418,0.0335,0.00389,83
cardigan,Taylor Swift,ambient,happy,0.581,130.033,0.551,0.613,0.537,-8.588,0.25,0.0424,0.000345,83
Young And Beautiful,Lana Del Rey,ambient,sad,0.416,113.986,0.151,0.324,0.262,-8.92,0.11,0.0368,3.69e-05,83
Moonlit Floor (Kiss Me),LISA,pop,happy,0.787,109.939,0.672,0.734,0.126,-3.951,0.312,0.116,0.0,82
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",pop,intense,0.563,105.008,0.343,0.833,0.528,-5.593,0.139,0.204,1.27e-05,82
Belong Together,Mark Ambor,pop,happy,0.668,90.969,0.64,0.646,0.491,-5.203,0.212,0.0282,0.0,82
Seven Nation Army,The White Stripes,rock,sad,0.446,123.596,0.278,0.743,0.0039,-7.807,0.337,0.0683,0.118,82
Under the Bridge,Red Hot Chili Peppers,rock,sad,0.345,84.581,0.458,0.559,0.0576,-13.496,0.141,0.0459,0.000105,82
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",hip-hop,intense,0.668,87.973,0.145,0.573,0.189,-4.356,0.109,0.0467,4.01e-05,82
Nueva Era,"Duki, Myke Towers",latin,happy,0.724,101.097,0.681,0.556,0.267,-3.165,0.217,0.119,0.0,82
Hecha Pa' Mí,Grupo Frontera,latin,happy,0.832,98.582,0.716,0.742,0.0857,-4.267,0.296,0.0325,0.0,82
Soltera - W Sound 01,"W Sound, Blessd, Ovy On The Drums",latin,happy,0.578,199.997,0.88,0.734,0.155,-4.147,0.113,0.295,0.000242,82
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",electronic,intense,0.823,128.035,0.418,0.646,0.213,-4.123,0.322,0.0394,0.0,82
The Nights,Avicii,electronic,happy,0.835,125.983,0.654,0.527,0.0166,-5.298,0.249,0.0433,0.0,82
Timber,"Pitbull, Kesha",electronic,happy,0.963,129.992,0.788,0.581,0.0295,-4.087,0.139,0.0981,0.0,82
Hope,XXXTENTACION,gaming,sad,0.457,146.04,0.225,0.592,0.661,-6.081,0.146,0.0603,0.000331,82
Happier,"Marshmello, Bastille",gaming,happy,0.792,100.011,0.671,0.687,0.191,-2.749,0.167,0.0452,0.0,82
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",gaming,happy,0.522,89.96,0.925,0.755,0.533,-4.368,0.0685,0.0575,0.0,82
fukumean,Gunna,gaming,intense,0.622,130.001,0.22,0.847,0.119,-6.747,0.285,0.0903,0.0,82
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",gaming,intense,0.642,83.389,0.339,0.463,0.314,-4.474,0.0686,0.34,0.0,82
on one tonight,Gunna,gaming,happy,0.727,130.035,0.932,0.887,0.381,-4.318,0.213,0.135,1.16e-06,82
Dancing In the Dark,Bruce Springsteen,rock,intense,0.942,148.723,0.495,0.527,0.0115,-5.64,0.188,0.0366,0.0,82
Santa Tell Me,Ariana Grande,pop,happy,0.621,191.868,0.592,0.525,0.0489,-7.364,0.291,0.117,0.0,82
Trance (with Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",arabic,intense,0.552,119.476,0.492,0.765,0.175,-7.524,0.193,0.309,0.0,82
Stitches,Shawn Mendes,pop,happy,0.754,149.789,0.755,0.752,0.0151,-6.684,0.0486,0.0615,0.0,82
Fix You,Coldplay,pop,sad,0.417,138.178,0.124,0.209,0.164,-8.74,0.113,0.0338,0.00196,82
Fast Car,Luke Combs,pop,happy,0.603,97.994,0.67,0.712,0.186,-5.52,0.115,0.0262,0.0,82
Memories,Maroon 5,pop,chill,0.327,91.05,0.595,0.775,0.841,-7.241,0.0821,0.0557,0.0,82
This Love,Maroon 5,pop,happy,0.862,95.051,0.809,0.712,0.0525,-4.612,0.093,0.0378,0.0,82
Dancing Queen,ABBA,pop,happy,0.87,100.804,0.754,0.543,0.358,-6.514,0.792,0.0428,0.000939,82
The Way I Are,"Timbaland, Keri Hilson, D.O.E.",pop,happy,0.807,114.742,0.765,0.729,0.181,-6.492,0.319,0.0936,0.75,82
Time of Our Lives,"Pitbull, Ne-Yo",pop,happy,0.802,124.022,0.724,0.721,0.0921,-5.797,0.694,0.0583,0.0,82
Beanie,Chezile,pop,intense,0.556,138.978,0.156,0.531,0.407,-6.245,0.318,0.0252,0.00915,82
Scar Tissue,Red Hot Chili Peppers,rock,happy,0.717,88.969,0.547,0.595,0.0779,-4.803,0.108,0.0295,0.00274,82
LA CANCIÓN,"J Balvin, Bad Bunny",latin,intense,0.646,176.088,0.429,0.756,0.152,-5.795,0.108,0.319,1.81e-05,82
Borro Cassette,Maluma,latin,happy,0.701,175.95,0.785,0.73,0.132,-5.885,0.151,0.106,0.0,82
LALA,Myke Towers,latin,happy,0.737,91.986,0.607,0.708,0.0739,-4.045,0.0955,0.0436,0.00162,82
MY EYES,Travis Scott,hip-hop,intense,0.621,119.043,0.28,0.455,0.651,-7.694,0.123,0.0517,2.59e-06,82
Taste,Sabrina Carpenter,pop,happy,0.91,112.966,0.786,0.67,0.0939,-4.07,0.304,0.0634,0.0,81
we can't be friends (wait for your love),Ariana Grande,pop,intense,0.646,115.842,0.295,0.645,0.0615,-8.334,0.074,0.0427,3.04e-05,81
Hotel California - 2013 Remaster,Eagles,rock,happy,0.508,147.125,0.609,0.579,0.00574,-9.484,0.0575,0.027,0.000494,81
